exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,test_acc_based_on_local_proto,local_eval_whole_test_dataset,individual_best_bac_avg,individual_best_f1score_avg,individual_best_test_acc_avg,individual_avg_test_acc_with_global_prototype,individual_avg_test_acc_with_local_prototype,individual_avg_test_f1_with_global_prototype,individual_avg_test_pre_with_local_prototype
2024-04-15 08:09,0,fedpcl,SGD,0.1,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,40,0.19614545454545457,True,0.0696,True,0.19294605809128632,0.10542484579755992,0.19505454545454545,0.21309090909090908,0.09818181818181818,0.10772463596093854,0.2457547169811321
2024-04-15 10:41,1,fedpcl,SGD,0.1,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.19745454545454547,True,0.1269818181818182,True,0.14221991701244813,0.023364088043105274,0.08109090909090907,0.26938181818181817,0.22465454545454544,0.17728224190544437,0.1740566037735849
2024-04-15 13:34,2,fedpcl,SGD,0.1,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,4,0.19774545454545456,True,0.10450909090909091,True,0.13195020746887967,0.02278582376313745,0.07389090909090909,0.2869090909090909,0.18261818181818185,0.17958808039781654,0.23089622641509436
2024-04-15 16:59,0,fedpcl,SGD,0.1,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,3,0.19723636363636365,True,0.1258909090909091,True,0.12489626556016598,0.022450959151448985,0.06894545454545455,0.3542545454545455,0.07389090909090909,0.24858389849147486,0.19688134978229316
2024-04-15 19:54,1,fedpcl,SGD,0.1,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,1,0.08530909090909092,True,0.09032727272727273,True,0.18319502074688795,0.10470814656129643,0.1882181818181818,0.19825454545454546,0.1909818181818182,0.10592167658550408,0.19632426988127677
2024-04-16 01:50,2,fedpcl,SGD,0.1,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.08501818181818181,True,0.09032727272727273,True,0.21061296414512182,0.11130706644128252,0.2074909090909091,0.3066181818181818,0.05323636363636364,0.2737646884326257,0.14572568940493472
2024-04-16 02:43,0,fedpcl,SGD,0.25,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.08574545454545454,True,0.21912727272727275,True,0.14948132780082987,0.023629776645547607,0.08618181818181818,0.2863272727272727,0.0762909090909091,0.21907267485194654,0.17407837445573296
2024-04-16 03:25,1,fedpcl,SGD,0.25,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.08654545454545455,True,0.18487272727272724,True,0.15,0.023686759060206983,0.08654545454545455,0.23250909090909092,0.1794181818181818,0.11550497235318766,0.24782157676348548
2024-04-16 04:07,2,fedpcl,SGD,0.25,computers,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,24,0.08654545454545455,True,0.049018181818181815,True,0.2,0.10581626760270854,0.2,0.21229090909090909,0.08283636363636364,0.10775568225452874,0.24553941908713695
2024-04-16 05:59,0,fedpcl,SGD,0.25,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,7,0.07381818181818181,True,0.17287272727272726,True,0.19056016597510372,0.10531440186057879,0.19338181818181818,0.36239999999999994,0.09112727272727272,0.2518971914627528,0.23712786336161815
2024-04-16 08:32,1,fedpcl,SGD,0.25,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,2,0.08545454545454545,True,0.16465454545454544,True,0.12676348547717842,0.022550116215087845,0.07025454545454544,0.35076363636363633,0.1685818181818182,0.24763648916347086,0.19493529269472668
2024-04-16 09:57,2,fedpcl,SGD,0.25,computers,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,7,0.15541818181818182,True,0.2074909090909091,True,0.14948132780082987,0.02364272638794847,0.08618181818181818,0.19796363636363637,0.11629090909090908,0.1398997067590313,0.16779564315352696
2024-04-16 17:24,0,fedpcl,SGD,0.25,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,18,0.24232727272727272,True,0.015490909090909088,True,0.15,0.0953606420401523,0.16494545454545456,0.4888727272727273,0.01621818181818182,0.33897365973256255,0.25
2024-04-16 21:32,1,fedpcl,SGD,0.25,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,6,0.14778181818181818,True,0.06727272727272728,True,0.19999294494266723,0.17917722979015574,0.27803636363636364,0.43767272727272727,0.12545454545454543,0.3223973681384855,0.22743589743589743
2024-04-17 00:58,2,fedpcl,SGD,0.25,computers,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.2772363636363636,True,0.06756363636363635,True,0.15,0.02425520788290811,0.08756363636363636,0.5672727272727273,0.08225454545454544,0.4106666027052075,0.25
