exp_time,seed,method,optimizer,lr,datasets,splitter,client_num,local_updates,dropout,client_cfg_file,best_round,test_acc,whole_test_dataset,LP_layer,LP_alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-09-08 17:33,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,122,0.8323078570441395,False,2,0.5,False,0.8316421319803762
2023-09-08 17:35,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8377538628711392,False,2,0.9,False,0.8367782846885561
2023-09-08 17:36,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,67,0.8138128381260726,False,2,0.9,False,0.8330310042099894
2023-09-08 17:38,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.831205990668804,False,2,0.9,False,0.8373576496714839
2023-09-08 17:39,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,67,0.8295758847788264,False,3,0.1,False,0.8371717376698312
2023-09-08 17:41,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,90,0.8384224000969642,False,3,0.1,False,0.843374376772025
2023-09-08 17:43,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8250305009813406,False,3,0.1,False,0.8364562633277984
2023-09-08 17:45,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8311671795800208,False,3,0.5,False,0.8367782846885561
2023-09-08 17:46,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,86,0.8293334210660108,False,3,0.5,False,0.8363012837885073
2023-09-08 17:48,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,61,0.8392346141977522,False,3,0.5,False,0.8332882425242001
2023-09-08 17:49,0,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,88,0.8305418483664544,False,3,0.9,False,0.839210225001402
2023-09-08 17:50,1,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,65,0.814924525667761,False,3,0.9,False,0.8316957176705545
2023-09-08 17:52,2,poiv3,SGD,0.05,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,61,0.8238690107971051,False,3,0.9,False,0.8343295746388992
2023-09-08 17:54,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,18,0.8306406352043068,False,1,0.1,False,0.8325776288439226
2023-09-08 17:56,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,11,0.839410146521485,False,1,0.1,False,0.842323635864975
2023-09-08 17:58,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,18,0.8268770915568145,False,1,0.1,False,0.8375679508694865
2023-09-08 18:00,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,30,0.8304207727756265,False,1,0.5,False,0.8307250535140044
2023-09-08 18:02,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,8,0.8400354777350516,False,1,0.5,False,0.8356638902927651
2023-09-08 18:04,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,15,0.8253747631959131,False,1,0.5,False,0.8333087953086418
2023-09-08 18:06,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,18,0.8385191398557194,False,1,0.9,False,0.8299597765294241
2023-09-08 18:08,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,19,0.8349755120011852,False,1,0.9,False,0.837465692094567
2023-09-08 18:11,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,16,0.8300300785921355,False,1,0.9,False,0.8383725974544168
2023-09-08 18:13,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,24,0.8384439771312527,False,2,0.1,False,0.8364065140495287
2023-09-08 18:15,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,11,0.8413518940943006,False,2,0.1,False,0.8462071310106062
2023-09-08 18:17,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,18,0.8201044962640438,False,2,0.1,False,0.8309596905440799
2023-09-08 18:19,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,26,0.8396956104439546,False,2,0.5,False,0.8278321169549561
2023-09-08 18:20,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,24,0.8327625165957283,False,2,0.5,False,0.841447609603209
2023-09-08 18:22,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,13,0.8298901328211217,False,2,0.5,False,0.8263757014604156
2023-09-08 18:24,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,12,0.8401106404595182,False,2,0.9,False,0.8257006209685793
2023-09-08 18:25,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,25,0.8358807347567792,False,2,0.9,False,0.8441358173446967
2023-09-08 18:27,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,12,0.8384795103196939,False,2,0.9,False,0.824144653553222
2023-09-08 18:29,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,24,0.8355764540184014,False,3,0.1,False,0.8235795580244002
2023-09-08 18:30,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,11,0.8432936416671162,False,3,0.1,False,0.8374618556826583
2023-09-08 18:32,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,16,0.8293295846541022,False,3,0.1,False,0.8391340380270884
2023-09-08 18:34,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,16,0.8389303334593745,False,3,0.5,False,0.8295841161142103
2023-09-08 18:35,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,21,0.8389989529178299,False,3,0.5,False,0.8383537806385085
2023-09-08 18:37,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,36,0.8325971573785175,False,3,0.5,False,0.8270619793086205
2023-09-08 18:39,0,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,11,0.8403818882921597,False,3,0.9,False,0.8253503739995628
2023-09-08 18:40,1,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,10,0.8344330163359025,False,3,0.9,False,0.8477724538540368
2023-09-08 18:42,2,poiv3,SGD,0.05,cora,louvain,5,16,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,12,0.8331482967531864,False,3,0.9,False,0.8340177263846635
2023-09-08 18:43,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,55,0.8248115560739517,False,1,0.1,False,0.8358562921961511
2023-09-08 18:44,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,111,0.8275731905713725,False,1,0.1,False,0.8244943420106715
2023-09-08 18:45,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,115,0.8231319594207838,False,1,0.1,False,0.8189949570648911
2023-09-08 18:46,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,132,0.8344809243376794,False,1,0.5,False,0.8374328123959505
2023-09-08 18:47,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,127,0.8382536702061246,False,1,0.5,False,0.8387277050851887
2023-09-08 18:48,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,171,0.8314816334249207,False,1,0.5,False,0.8288536080039002
2023-09-08 18:49,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,159,0.8352423649103511,False,1,0.9,False,0.8426532766852723
2023-09-08 18:51,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,127,0.8348459459080912,False,1,0.9,False,0.8353943784286575
2023-09-08 18:52,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,151,0.829844166590483,False,1,0.9,False,0.8406213859839904
2023-09-08 18:53,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,55,0.8310518288079619,False,2,0.1,False,0.8332930498216775
2023-09-08 18:54,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,81,0.8283384675559526,False,2,0.1,False,0.8419924122832644
2023-09-08 18:55,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,131,0.8145537792785802,False,2,0.1,False,0.8293945742720471
2023-09-08 18:57,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,132,0.8360076418949312,False,2,0.5,False,0.8361811790832485
2023-09-08 18:58,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,127,0.8198737954887191,False,2,0.5,False,0.8319362396122318
2023-09-08 18:59,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,119,0.8319718261649511,False,2,0.5,False,0.8292000185610082
2023-09-08 19:00,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,162,0.8378947795277218,False,2,0.9,False,0.8330281920479274
2023-09-08 19:01,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,84,0.836789740560004,False,2,0.9,False,0.8239524048569559
2023-09-08 19:03,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,70,0.8314772385014452,False,2,0.9,False,0.8380543071976083
2023-09-08 19:04,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,55,0.8291100812351463,False,3,0.1,False,0.8295954666776991
2023-09-08 19:05,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,126,0.8342302292894799,False,3,0.1,False,0.8479527934752472
2023-09-08 19:06,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,127,0.8241383168586083,False,3,0.1,False,0.831961653058429
2023-09-08 19:07,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,92,0.8336048980759132,False,3,0.5,False,0.8383840013821832
2023-09-08 19:08,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,127,0.8379662111482393,False,3,0.5,False,0.8340384857405029
2023-09-08 19:09,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,115,0.8255120500119849,False,3,0.5,False,0.8223186691264672
2023-09-08 19:10,0,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,105,0.832428427487678,False,3,0.9,False,0.8337286859859608
2023-09-08 19:11,1,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,127,0.818526393302831,False,3,0.9,False,0.8237318771881531
2023-09-08 19:12,2,poiv3,SGD,0.25,cora,louvain,5,1,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,86,0.8184831872905723,False,3,0.9,False,0.8152709895891466
2023-09-08 19:14,0,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,24,0.8343453734901412,False,1,0.1,False,0.8440362654238796
2023-09-08 19:15,1,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,38,0.8298291861864833,False,1,0.1,False,0.8285137940770811
2023-09-08 19:16,2,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,74,0.8370523980475368,False,1,0.1,False,0.8362055682795987
2023-09-08 19:17,0,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,17,0.8355720590949259,False,1,0.5,False,0.8593477246227816
2023-09-08 19:18,1,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,41,0.8285775528737813,False,1,0.5,False,0.8453161243448406
2023-09-08 19:18,2,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,32,0.8202332980429665,False,1,0.5,False,0.8379143614265946
2023-09-08 19:19,0,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,45,0.8372431173466671,False,1,0.9,False,0.8476053067246108
2023-09-08 19:20,1,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,24,0.8298901328211217,False,1,0.9,False,0.8399988669324857
2023-09-08 19:21,2,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,33,0.8315220272751175,False,1,0.9,False,0.8341990376602363
2023-09-08 19:22,0,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,56,0.8359228645755094,False,2,0.1,False,0.8432748248512079
2023-09-08 19:23,1,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,43,0.8293184406620113,False,2,0.1,False,0.8360910359547822
2023-09-08 19:24,2,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,20,0.8319370572906811,False,2,0.1,False,0.8293438007439307
2023-09-08 19:25,0,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,59,0.8378890013446754,False,2,0.5,False,0.8399059116419576
2023-09-08 19:26,1,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,37,0.8298939692330304,False,2,0.5,False,0.8265589066079656
2023-09-08 19:27,2,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,16,0.8372918957393678,False,2,0.5,False,0.8396945861941079
2023-09-08 19:27,0,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,60,0.8411979388048563,False,2,0.9,False,0.844690793131274
2023-09-08 19:28,1,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,41,0.8261504198584131,False,2,0.9,False,0.8415848485201203
2023-09-08 19:30,2,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,25,0.8435179523835498,False,2,0.9,False,0.8447113459157158
2023-09-08 19:31,0,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,23,0.8402602008254872,False,3,0.1,False,0.8537488396998658
2023-09-08 19:32,1,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,46,0.8298291861864833,False,3,0.1,False,0.8352571395117462
2023-09-08 19:32,2,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,16,0.8181217963294648,False,3,0.1,False,0.83694261965592
2023-09-08 19:33,0,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,26,0.8383509684764467,False,3,0.5,False,0.8434353234066634
2023-09-08 19:34,1,poiv3,SGD,0.25,cora,louvain,5,4,0.5,model_heterogeneity/model_settings/5_Heterogeneous_GNNs.yaml,41,0.8252490335147277,False,3,0.5,False,0.8401311932439601
