exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,dropout,alpha,off_diag_weight,loss_dual_weight,public_dataset_name,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-08-03 04:49,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.4581668715427167,0,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,cifar100,True,0.4742778119237861
2023-08-03 05:32,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.33128457283343576,2,0.5,0.5,5000,1,0.001,0.5,100,0.0051,10,fashion_minist,True,0.3798709280885065
2023-08-03 06:40,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.49779502151198524,3,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,cifar100,True,0.5404963122311002
2023-08-03 07:35,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.33833743085433315,1,0.5,0.5,5000,1,0.001,0.5,100,0.00032,0,fashion_minist,True,0.3936923786109404
2023-08-03 08:40,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.5226183159188691,28,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,cifar100,True,0.5510755992624462
2023-08-03 10:53,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.3845113706207744,1,0.5,0.5,5000,1,0.001,0.5,100,0.00032,1,fashion_minist,True,0.42337891825445606
2023-08-03 11:57,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.5108635525507068,0,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,cifar100,True,0.5449984634296251
2023-08-03 13:12,0,fccl,256,Adam,0.0001,SVHN@torchvision,lda,5,1,0.36014904732636754,0,0.5,0.5,5000,1,0.001,0.5,100,0.00032,10,fashion_minist,True,0.3922710510141364
2023-08-03 14:08,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.4637676705593116,64,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,0,cifar100,True,0.5241933005531653
2023-08-03 15:16,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.29363091579594347,60,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,0,fashion_minist,True,0.3762369391518131
2023-08-03 16:23,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.4737784265519361,6,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,1,cifar100,True,0.5577289489858636
2023-08-03 18:06,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.33050092194222497,82,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,1,fashion_minist,True,0.4034726490473264
2023-08-03 19:32,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.4786877688998157,105,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,10,cifar100,True,0.5581130915795943
2023-08-03 21:12,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.31193915181315307,59,0.5,0.5,5000,1,0.001,0.5,1.0,0.0051,10,fashion_minist,True,0.4002612169637369
2023-08-03 23:31,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.43817609096496624,49,0.5,0.5,5000,1,0.001,0.5,1.0,0.00032,0,cifar100,True,0.518638598647818
2023-08-04 00:30,0,fccl,256,Adam,0.01,SVHN@torchvision,lda,5,1,0.27139674247080514,42,0.5,0.5,5000,1,0.001,0.5,1.0,0.00032,0,fashion_minist,True,0.3380608481868469
